title;description;url;image
Task App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/SmartConTractor88/Task-App.git;webapp_task_list_icon.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/SmartConTractor88/Portfolio-WebApp.git;webapp_task_list_icon.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://udemy.com;pdf_template_icon.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://udemy.com;pdf_invoice_template_icon.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://udemy.com;webapp_task_list_icon.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://udemy.com;webapp_task_list_icon.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://udemy.com;webapp_task_list_icon.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://udemy.com;webapp_task_list_icon.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://udemy.com;webapp_task_list_icon.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://udemy.com;webapp_task_list_icon.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://udemy.com;webapp_task_list_icon.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://udemy.com;webapp_task_list_icon.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://udemy.com;webapp_task_list_icon.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://udemy.com;webapp_task_list_icon.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://udemy.com;webapp_task_list_icon.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://udemy.com;webapp_task_list_icon.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://udemy.com;webapp_task_list_icon.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://udemy.com;webapp_task_list_icon.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://udemy.com;webapp_task_list_icon.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://udemy.com;webapp_task_list_icon.png
